Tumor Sample,Germline Sample,Contamination,CopyNumber QC Mixups,Fingerprints LOD,Normal Mean Target Coverage,Tumor Target Coverage,Tumor in Normal (TiN),Quality Control,Failure Reasons,Data Release
RP-1532_PCProject_0013_T1_v2_Exome_OnPrem,RP-1532_PCProject_0013_SALIVA_v2_Exome_OnPrem,0.004,0,62,122,177,0.02,PASS,,2019-11
RP-1532_PCProject_0014_T1_v3_Exome_OnPrem,RP-1532_PCProject_0014_BLOOD_BC_v1_Exome_OnPrem,0.007,0,2,143,7,0,FAIL,Low tumor coverage,2019-11
RP-1532_PCProject_0020_T2_v4_Exome_OnPrem,RP-1532_PCProject_0020_SALIVA_v1_Exome_OnPrem,0.002,0,23,64,112,0.1,FAIL,Low tumor purity,2020-10
RP-1532_PCProject_0022_T1_v3_Exome_OnPrem,RP-1532_PCProject_0022_SALIVA_v3_Exome_OnPrem,0.001,0,76,132,327,0,PASS,,2019-11
RP-1532_PCProject_0028_T2_v3_Exome_OnPrem,RP-1532_PCProject_0028_BLOOD_BC_v1_Exome_OnPrem,0.003,0,17,117,95,0.02,PASS,,2020-10
RP-1532_PCProject_0029_T1_v3_Exome_OnPrem,RP-1532_PCProject_0029_SALIVA_v3_Exome_OnPrem,0.004,0,51,121,68,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0031_T1_v2_Exome_OnPrem,RP-1532_PCProject_0031_SALIVA_v2_Exome_OnPrem,0.013,2,60,140,53,0,PASS,,2019-11
RP-1532_PCProject_0034_T2_v4_Exome_OnPrem,RP-1532_PCProject_0034_SALIVA_v3_Exome_OnPrem,0.003,0,21,91,130,0,FAIL,Low tumor purity,2020-10
RP-1532_PCProject_0054_T2_v2_Exome_OnPrem,RP-1532_PCProject_0054_SALIVA_v2_Exome_OnPrem,0.006,0,47,86,122,0,PASS,,2019-11
RP-1532_PCProject_0056_T1_v4_Exome_OnPrem,RP-1532_PCProject_0056_SALIVA_v4_Exome_OnPrem,0.001,0,49,138,356,0,PASS,,2020-10
RP-1532_PCProject_0062_T1_v2_Exome_OnPrem,RP-1532_PCProject_0062_SALIVA_v2_Exome_OnPrem,0.007,0,71,93,120,0,PASS,,2019-11
RP-1532_PCProject_0085_T1_v3_Exome_OnPrem,RP-1532_PCProject_0085_SALIVA_v3_Exome_OnPrem,0.007,0,81,125,150,0,PASS,,2019-11
RP-1532_PCProject_0087_T1_v2_Exome_OnPrem,RP-1532_PCProject_0087_BLOOD_BC_v2_Exome_OnPrem,0.002,3,26,168,57,0.2,PASS,,2019-11
RP-1532_PCProject_0093_T2_v2_Exome_OnPrem,RP-1532_PCProject_0093_BLOOD_BC_v1_Exome_OnPrem,0.003,0,50,87,176,0,PASS,,2020-10
RP-1532_PCProject_0095_T1_v2_Exome_OnPrem,RP-1532_PCProject_0095_SALIVA_v2_Exome_OnPrem,0.01,0,31,127,22,0,FAIL,Low tumor coverage,2019-11
RP-1532_PCProject_0100_T1_v4_Exome_OnPrem,RP-1532_PCProject_0100_SALIVA_v3_Exome_OnPrem,0.002,0,39,128,229,0,PASS,,2020-10
RP-1532_PCProject_0120_T2_v4_Exome_OnPrem,RP-1532_PCProject_0120_SALIVA_v4_Exome_OnPrem,0.008,0,37,145,133,0,PASS,,2020-10
RP-1532_PCProject_0121_T1_v3_Exome_OnPrem,RP-1532_PCProject_0121_SALIVA_v3_Exome_OnPrem,0.003,0,82,117,189,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0122_T2_v1_Exome_OnPrem,RP-1532_PCProject_0122_SALIVA_v2_Exome_OnPrem,0.01,0,50,141,135,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0123_T2_v4_Exome_OnPrem,RP-1532_PCProject_0123_SALIVA_2_v4_Exome_OnPrem,0.001,0,54,96,301,0,PASS,,2020-10
RP-1532_PCProject_0125_T1_v3_Exome_OnPrem,RP-1532_PCProject_0125_SALIVA_v3_Exome_OnPrem,0.003,0,35,95,70,0,PASS,,2019-11
RP-1532_PCProject_0126_T1_v3_Exome_OnPrem,RP-1532_PCProject_0126_SALIVA_v3_Exome_OnPrem,0.002,0,55,118,66,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0136_T2_v4_Exome_OnPrem,RP-1532_PCProject_0136_SALIVA_v4_Exome_OnPrem,0.002,0,41,108,131,0,PASS,,2020-10
RP-1532_PCProject_0142_T2_v4_Exome_OnPrem,RP-1532_PCProject_0142_SALIVA_v3_Exome_OnPrem,0.002,2,31,96,179,0,PASS,,2020-10
RP-1532_PCProject_0148_T1_v2_Exome_OnPrem,RP-1532_PCProject_0148_SALIVA_v1_Exome_OnPrem,0.045,0,22,6,111,0,FAIL,"Low normal coverage, low tumor purity",2019-11
RP-1532_PCProject_0149_T1_v2_Exome_OnPrem,RP-1532_PCProject_0149_SALIVA_v2_Exome_OnPrem,0.001,0,68,148,76,0,PASS,,2019-11
RP-1532_PCProject_0161_T1_v2_Exome_OnPrem,RP-1532_PCProject_0161_SALIVA_v2_Exome_OnPrem,0.002,0,69,121,151,0,PASS,,2019-11
RP-1532_PCProject_0175_T1_v2_Exome_OnPrem,RP-1532_PCProject_0175_SALIVA_v2_Exome_OnPrem,0.009,0,56,120,75,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0177_T1_v2_Exome_OnPrem,RP-1532_PCProject_0177_SALIVA_v2_Exome_OnPrem,0.001,0,81,125,236,0,PASS,,2019-11
RP-1532_PCProject_0180_T1_v2_Exome_OnPrem,RP-1532_PCProject_0180_SALIVA_v2_Exome_OnPrem,0.001,0,80,126,226,0,FAIL,Low tumor purity,2019-11
RP-1532_PCProject_0181_T2_v3_Exome_OnPrem,RP-1532_PCProject_0181_SALIVA_v1_Exome_OnPrem,0.009,0,24,145,99,0.01,PASS,,2019-11
